cluster_id_1,cluster_id_2,distance_miles
32,92,241.66840901487808
32,40,90.19989603597041
32,60,272.4906986586995
32,56,164.60914976646234
32,79,37.59155554046034
32,77,283.2426917232536
32,91,216.4250826041835
32,54,261.77003364364003
32,59,78.0863353802367
32,34,264.70702752850246
32,62,42.53938545510858
32,42,209.68325079575905
32,90,269.37439463857186
32,46,60.42475113944236
32,85,278.57735302120085
32,53,101.88385832311965
32,99,231.35978714232778
32,57,234.18895145656128
32,71,266.0441129175041
32,94,27.030526501708515
32,78,125.69243807714582
32,52,138.9149113095708
32,84,43.68003195877196
32,82,257.2105140561199
32,64,213.99312777912863
32,48,215.62256677272634
32,38,82.85258988962681
32,41,178.97925358191924
32,95,100.48335118666388
32,43,155.9538207829145
32,50,41.98802976101141
32,87,184.6238392191059
32,49,220.0069455450438
32,33,134.18729949276764
32,93,138.68253572599673
32,35,127.9416325558019
32,68,100.34452260144009
32,76,98.48689869583158
32,86,145.76019086954147
32,58,229.3725538227333
32,81,74.61397295575533
32,88,51.956162956217966
32,97,184.021790746955
32,55,142.26771491947704
32,39,204.8620885198948
32,80,45.521312713678626
32,83,59.61964538255104
32,51,191.70990172931778
32,61,241.97410168025206
32,69,101.64061222567662
32,37,155.7994550930535
32,66,111.02798476926506
32,98,100.68009018785872
32,44,240.7025490507711
32,73,112.05491546232243
32,63,72.47631203960775
32,75,225.71452368545616
32,45,85.35054364934048
32,70,235.16167329834582
32,36,170.00413744245668
32,72,57.617154989394166
32,65,191.83166643471458
32,47,87.75277892854393
32,74,198.61545628851255
32,67,220.0924167739042
32,96,175.68068900645972
32,89,177.8141404605505
12,32,77.49872998704578
12,92,171.9692468674506
12,40,21.888648462295617
12,17,208.71724854603013
12,60,196.9509176464533
12,56,95.81905686910095
12,79,67.30202132079044
12,77,217.41259175286694
12,91,160.9707112003359
12,18,94.62518134083457
12,54,195.26335367072426
12,19,153.1202039904833
12,59,63.51161343827951
12,16,50.089778802040776
12,29,58.368506553508226
12,34,205.94142175301673
12,62,42.57190074185647
12,42,150.2755850266718
12,31,41.7361499411461
12,90,199.89448195709758
12,46,20.457639912743005
12,85,216.3585462429012
12,53,51.83873759306373
12,99,155.09921945787312
12,57,156.9090904562032
12,71,189.3153769881031
12,94,52.34116509100967
12,78,114.82636310458021
12,52,114.81525078015846
12,28,81.67595346632693
12,22,79.72516732086936
12,84,60.24782733613363
12,82,183.12007168999907
12,64,144.03862109596938
12,14,136.49583620797517
12,27,118.88648403195967
12,48,138.93738577310864
12,38,17.127417357836826
12,15,188.94617768814206
12,41,103.0550679682617
12,95,139.3563462417687
12,43,104.5902366462299
12,50,92.81067008356158
12,87,128.68808119451688
12,49,145.28185052536296
12,33,78.11408739290691
12,93,74.01810555261447
12,35,50.73545465562444
12,30,124.32930079106295
12,68,35.652251976165644
12,76,21.92285038677824
12,86,68.63615924976487
12,58,156.483798760532
12,81,16.064085321691195
12,88,35.63814589746837
12,21,33.32736572774703
12,97,106.55149399252352
12,55,65.57304869780415
12,23,86.9251003683389
12,39,127.37908650103591
12,80,31.983334719920666
12,83,78.60909209241498
12,51,144.7361263239687
12,24,94.5955065003481
12,61,186.73230977471502
12,69,78.60427022622014
12,37,121.47675013308579
12,66,36.31321389151168
12,26,109.21898103705674
12,98,116.58843031405615
12,25,172.30223281307298
12,44,175.3727771554408
12,73,123.11111048623096
12,13,144.7809824496184
12,63,96.43950330760626
12,75,160.09195907421568
12,45,110.34087445981977
12,70,174.11692705720057
12,36,111.15988710712416
12,72,48.63011050696525
12,65,127.57285156327107
12,47,96.96031271510368
12,74,123.6631439672466
12,67,168.9101431904713
12,20,213.65228907680205
12,96,111.15086021286452
12,89,131.76193487764118
92,99,55.27386511433902
92,94,214.71672670305196
92,95,246.33327060888683
92,93,103.11519969261137
92,97,94.29905441151809
92,98,208.5686420973762
92,96,67.7245543147394
40,92,174.10563371770147
40,60,192.86969565508153
40,56,101.06159991757244
40,79,86.66508633034196
40,77,221.437110012764
40,91,171.09585783587642
40,54,199.19006782631826
40,59,85.32503606821798
40,62,61.563673225144555
40,42,158.949647535122
40,90,201.74729468335107
40,46,40.71926064667633
40,85,222.38818761878298
40,53,69.80618463154651
40,99,150.32946247970557
40,57,149.40473930091633
40,71,183.16557885769438
40,94,68.04438327043309
40,78,135.79941604966416
40,52,134.3046860873492
40,84,62.269097719848865
40,82,181.06612681397777
40,64,146.58167435002213
40,48,133.51986995132444
40,41,100.10993335379395
40,95,160.50194353943448
40,43,118.17975190798411
40,50,111.58915282980266
40,87,139.55136178461356
40,49,143.07290563823332
40,93,83.55035631463406
40,68,50.43018155227844
40,76,28.125046733827016
40,86,58.03067731565632
40,58,156.14823705594964
40,81,15.592288909241862
40,88,40.18697813742897
40,97,98.53473492000505
40,55,62.797300315026696
40,80,46.532136860503584
40,83,99.83347748297489
40,51,158.30559202826205
40,61,196.40195520617692
40,69,99.41705000675091
40,66,21.765643995293065
40,98,138.46010727300822
40,44,180.35985644525502
40,73,144.98467579162835
40,63,117.8593916728502
40,75,165.2248618010899
40,45,131.9255911508533
40,70,181.4443250632902
40,72,46.451520423193635
40,65,134.4282403142072
40,47,118.84078113822193
40,74,121.64776418461236
40,67,180.4787582506535
40,96,118.48976735624258
40,89,146.00047368412956
17,32,284.63511171728953
17,92,68.44900005002626
17,40,203.94179834574516
17,60,13.150966150378048
17,56,126.33551124426829
17,79,262.2584404706666
17,77,86.55524680559309
17,91,133.32885114326461
17,18,220.35505738500314
17,54,80.73148896015167
17,19,150.21592650973543
17,59,228.51655240186966
17,29,158.52821062181906
17,34,120.30614546969547
17,62,243.688778151395
17,42,121.7952323015676
17,31,217.40308907185175
17,90,62.026936555775514
17,46,224.21280530698326
17,85,105.87683428333474
17,53,192.01861489257738
17,99,53.71255386472386
17,57,58.05466982735755
17,71,23.796763334514143
17,94,257.86234913119256
17,78,233.65249922286353
17,52,212.64878976324118
17,28,282.4341187183296
17,22,286.6265530359672
17,84,265.96274657940705
17,82,34.417172381286385
17,64,84.25252863455492
17,27,98.5804666223128
17,48,70.42436109939734
17,38,201.83698816299994
17,41,105.75541517369189
17,95,305.78342154271127
17,43,161.46651230860843
17,50,285.937678195439
17,87,140.28329733861776
17,49,65.55695433566065
17,33,165.96210932908457
17,93,153.01005746965245
17,35,162.57126609829146
17,30,298.91718199307513
17,68,185.7748614728641
17,76,186.9041861762178
17,86,147.20539843196502
17,58,62.09601606324309
17,81,217.15275257580655
17,88,242.42256765277494
17,21,231.6965652470877
17,97,106.46433001177017
17,55,143.17144183112777
17,23,126.84882030227678
17,39,88.30300000692189
17,80,240.0189403520132
17,83,258.6618298851639
17,51,161.59135084989404
17,24,190.67693222788415
17,61,132.95568614454817
17,69,216.7685736804195
17,37,193.50192045781012
17,66,182.79562561662357
17,26,247.11152217970198
17,98,268.7076896337863
17,25,38.224749491896006
17,44,90.07316033717595
17,73,265.5037563333327
17,63,268.69569988978884
17,75,93.7613488852953
17,45,275.56954443997216
17,70,109.87888640298921
17,36,140.42166246008154
17,72,250.37183249898175
17,65,115.53365620128076
17,47,254.93323712367874
17,74,86.29034778290284
17,67,147.2395905511284
17,20,72.67192448411498
17,96,125.28670682863495
17,89,165.8994805208301
7,32,158.1487868085893
7,12,83.84649011228957
7,92,89.79293492306851
7,40,84.31882111473394
7,17,126.6997313096856
7,60,114.39338092414565
7,56,24.677807638564957
7,79,136.1134829539436
7,77,137.57329955197804
7,91,98.28430926547846
7,18,108.91508661297512
7,54,115.37133196021067
7,19,99.36902348823408
7,59,105.83901057475373
7,16,112.79801062043506
7,29,32.8319361413268
7,34,134.15429030571926
7,62,116.98908529653482
7,42,83.23508647332116
7,31,91.7875323119918
7,90,117.44061197571517
7,46,97.81284059929602
7,85,140.12439293913087
7,53,68.79803762280429
7,99,74.14377718099698
7,57,81.05599829208379
7,71,109.41539329412464
7,94,131.27099335395044
7,78,127.48476366739841
7,52,112.3523954799297
7,28,155.89858563146902
7,22,163.41040035415136
7,84,143.41477415828385
7,82,99.4270901232336
7,64,62.41437030494745
7,14,177.07060971129914
7,27,36.33011468575084
7,48,59.89345986777675
7,38,75.29766967674328
7,15,105.40602001565208
7,41,22.79097490568654
7,95,187.97545695634156
7,43,67.43209521432712
7,11,44.223179450796415
7,50,160.462245475861
7,87,72.5376817318506
7,49,61.88246770196967
7,33,52.98027033326596
7,93,35.04179305672136
7,35,47.90564744961468
7,30,178.26441350376246
7,68,59.27299024604099
7,76,61.99140057857688
7,86,43.410850808422346
7,58,72.68822479648972
7,81,94.80452815026858
7,88,119.00861609531196
7,21,111.35973498705728
7,97,41.02320237191184
7,55,22.8907827028267
7,23,36.25351094107908
7,39,58.034474446800466
7,80,114.12831885793621
7,83,134.90090833672846
7,51,98.62625897764589
7,8,97.39479023054467
7,24,85.06030783995996
7,61,121.00805821840298
7,69,99.9735380756149
7,37,102.5195305923293
7,9,118.71034163263353
7,66,66.68128336909446
7,26,135.01980744888604
7,98,153.57045030385882
7,25,92.43301877692096
7,44,97.5239403486679
7,73,153.64282554198974
7,13,69.33079901042483
7,63,147.31961787027527
7,75,82.81080726452659
7,45,156.60849308892526
7,70,101.79049502867852
7,36,56.12919487980289
7,72,129.54763718091266
7,65,56.465020853340796
7,47,136.7126877380571
7,74,40.4802798215176
7,67,111.23958956397321
7,10,104.4245786064428
7,20,132.08337847183316
7,96,44.020126557547606
7,89,91.17355263564087
60,92,56.62957713166753
60,79,249.6242259082626
60,77,80.42141491604603
60,91,121.51115011659749
60,62,231.33701832016843
60,90,54.03152998812892
60,85,98.70421006967263
60,99,42.639198141397
60,71,20.45279102723769
60,94,245.6527942696055
60,78,220.5304536401659
60,84,254.69218165613302
60,82,21.80293083615212
60,64,71.18734476556813
60,95,292.64983661927255
60,87,127.41972846666351
60,93,140.07905338890015
60,68,173.29734592547803
60,76,175.0813703839836
60,86,136.7378437756041
60,81,205.79560144641127
60,88,230.96895166244622
60,97,96.32488352213498
60,80,228.07053868324928
60,83,245.7515938850674
60,61,122.54865691160059
60,69,203.66130078372342
60,66,171.9389482905168
60,98,255.56050929365904
60,73,252.35543472682542
60,63,255.65866451961
60,75,81.64148892519026
60,70,98.81033972023741
60,72,239.32113514807216
60,65,102.48934270838168
60,74,73.91643617374554
60,67,135.7234501064553
60,96,112.13639432296046
60,89,153.1376639753685
56,92,77.17424472976603
56,60,113.34110624706679
56,79,137.90212982431487
56,77,121.5945330052066
56,91,74.34017346354115
56,59,102.27136592397237
56,62,122.21458239384306
56,90,105.02638317579243
56,85,121.37091826874452
